HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40366249,40366250,40276558,3.93,547.6,6.7,21.69,21.7,1,0.010,1,5,8,4120472580
40366250,40366378,40276558,0.71,546.7,8.6,1.32,52.0,1,0.023,2,4,8,4120472580
40366251,40365357,40276558,4.67,472.0,15.9,28.16,28.2,1,0.010,1,5,8,4120467970
40366252,40366139,40276558,0.88,455.5,7.8,11.76,11.8,1,0.005,1,3,9,4120472160
40366253,40365826,40276558,3.64,460.7,15.7,24.18,72.0,1,0.038,2,4,8,4121317600
40366254,40366041,40359104,10.46,70.3,15.3,66.91,66.9,1,0.016,1,1,8,4120468220
40366255,40363480,40359104,13.71,36.6,19.4,41.73,41.7,1,0.009,1,4,9,4120468650
40366256,40365009,40361949,6.07,42.5,54.0,13.58,816.2,1,0.115,4,1,7,4121317180
40366257,40369983,40370094,1.93,21.3,7.5,13.57,13.6,1,0.000,1,3,10,4120477140
40366258,40369983,40370094,3.02,21.5,16.9,5.79,73.5,1,0.000,2,2,10,4120477140
40366259,40366048,40364888,0.93,16.0,59.4,4.47,523.4,1,0.000,3,2,10,4120470690
40366260,40366048,40364888,9.71,15.9,16.5,31.62,31.6,1,0.000,1,3,10,4120470690
40366261,40362588,40364888,22.56,20.0,28.6,71.99,72.0,1,0.000,1,2,10,4120468560
40366262,40366389,40363583,1.58,52.5,10.9,23.01,23.0,1,0.000,1,2,10,4121317860
40366263,40366791,40367030,9.20,66.3,14.7,35.74,35.7,1,0.000,1,3,10,4120470870
40366264,40366487,40367031,5.60,4.8,30.7,12.41,137.9,1,0.000,3,4,10,4120472710
40366265,40366487,40367031,2.18,4.8,6.6,15.89,15.9,1,0.000,1,5,10,4120472710
40366266,40367646,40360317,4.89,66.0,9.2,19.20,19.2,1,0.000,1,4,10,4121318600
40366267,40367646,40360317,2.85,66.1,9.1,21.85,21.8,1,0.000,1,5,10,4121318600
40366268,40366148,40360317,1.30,33.8,23.2,4.14,103.3,1,0.000,2,3,10,4120468570
40366269,40365952,40417973,1.74,2704.9,7.0,14.58,14.6,0,0.002,1,3,9,4120468420
40366378,40366379,40276558,8.03,538.9,17.9,16.56,100.5,1,0.045,2,3,8,4120472580
40366379,40365699,40276558,3.02,535.9,212.8,4.64,6751.1,1,7.875,4,2,6,4120465870
40366380,40365359,40276558,6.62,483.6,18.3,20.21,20.2,1,0.007,1,6,9,4121314410
40366381,40365127,40276558,5.46,434.7,75.8,12.75,761.9,1,0.429,4,3,7,4120471560
40366382,40366040,40276558,1.63,443.7,21.3,1.82,73.6,1,0.027,2,3,8,4120472160
40366383,40366140,40276558,1.17,443.8,434.4,2.15,28798.7,1,30.661,6,1,5,4120472170
40366384,40365704,40276558,7.84,448.1,12.5,23.52,23.5,1,0.010,1,2,8,4120471430
40366385,40362584,40359793,16.52,18.6,21.5,38.90,38.9,1,0.009,1,3,9,4120466990
40366386,40366387,40361949,0.71,50.5,46.0,1.66,677.7,1,0.136,4,1,7,4121317850
40366387,40366256,40361949,2.11,48.6,47.9,3.81,760.7,1,0.142,4,1,7,4121317850
40366388,40365836,40364888,3.33,5.0,8.9,15.24,15.2,1,0.000,1,3,10,4120471260
